web-scraper-order,web-scraper-start-url,pagination,type chaussure,prix,adresse,image url-src
"1751302848-1","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets Air Jordan 6","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5366456_uploaded_image1_1749474268.jpg"
"1751302848-2","https://sn.coinafrique.com/categorie/chaussures-homme","","Chaussures homme","6 500CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5361744_uploaded_image1_1749121958.jpg"
"1751302848-3","https://sn.coinafrique.com/categorie/chaussures-homme","","Mocassins hommes","4 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5361721_uploaded_image1_1749121349.jpg"
"1751302848-4","https://sn.coinafrique.com/categorie/chaussures-homme","","Chaussures Crocs","9 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5379660_uploaded_image1_1750203700.jpg"
"1751302848-5","https://sn.coinafrique.com/categorie/chaussures-homme","","Chaussures Crocs","9 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5379657_uploaded_image1_1750203622.jpg"
"1751302848-6","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets Timberland","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5384805_uploaded_image1_1750461330.jpg"
"1751302848-7","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets Lacoste trainer L003","30 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365741_uploaded_image1_1749418889.jpg"
"1751302848-8","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets Dior B22","30 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365750_uploaded_image1_1749419182.jpg"
"1751302848-9","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets Lacoste Trainer L003","30 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365745_uploaded_image1_1749419070.jpg"
"1751302848-10","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets Adidas","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365752_uploaded_image1_1749419261.jpg"
"1751302848-11","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets Louis Vuitton","30 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365755_uploaded_image1_1749419366.jpg"
"1751302848-12","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets AF1 / The Nord Face","22 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365735_uploaded_image1_1749418626.jpg"
"1751302848-13","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets Air Jordan 1","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365739_uploaded_image1_1749418736.jpg"
"1751302848-14","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets Timberland","35 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365729_uploaded_image1_1749418455.jpg"
"1751302848-15","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets Louis Vuitton","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365721_uploaded_image1_1749418247.jpg"
"1751302848-16","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets Nike P6000","27 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365720_uploaded_image1_1749418139.jpg"
"1751302848-17","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets Adidas Super Star","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365715_uploaded_image1_1749417986.jpg"
"1751302848-18","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets Nike Zoomx","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365707_uploaded_image1_1749417627.jpg"
"1751302848-19","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets Jordan One Low","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365709_uploaded_image1_1749417739.jpg"
"1751302848-20","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets Jordan One","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365710_uploaded_image1_1749417808.jpg"
"1751302848-21","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets Jordan 12","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365713_uploaded_image1_1749417889.jpg"
"1751302848-22","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets Jordan 3","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365706_uploaded_image1_1749417541.jpg"
"1751302848-23","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets Adidas Samba","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365698_uploaded_image1_1749417367.jpg"
"1751302848-24","https://sn.coinafrique.com/categorie/chaussures-homme","","Baskets New Balance Fuel Cell","27 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365693_uploaded_image1_1749417266.jpg"
"1751302848-25","https://sn.coinafrique.com/categorie/chaussures-homme","","Basktes New Balance Fuel Cell","27 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365690_uploaded_image1_1749417178.jpg"
