web-scraper-order,web-scraper-start-url,pagination,type,prix,imgUrl-src,adress
"1751301389-1","https://sn.coinafrique.com/categorie/vetements-homme","","Bonet","Prix sur demande","https://images.coinafrique.com/thumb_5374410_uploaded_image1_1749913289.jpg","Colobane, Dakar, Sénégal"
"1751301389-2","https://sn.coinafrique.com/categorie/vetements-homme","","Djialabé","15 000CFA","https://images.coinafrique.com/thumb_5374429_uploaded_image1_1749913872.jpg","Colobane, Dakar, Sénégal"
"1751301389-3","https://sn.coinafrique.com/categorie/vetements-homme","","Djialab Homme","15 000CFA","https://images.coinafrique.com/thumb_5374420_uploaded_image1_1749913604.jpg","Colobane, Dakar, Sénégal"
"1751301389-4","https://sn.coinafrique.com/categorie/vetements-homme","","Djialab  Homme","10 000CFA","https://images.coinafrique.com/thumb_5374415_uploaded_image1_1749913505.jpg","Colobane, Dakar, Sénégal"
"1751301389-5","https://sn.coinafrique.com/categorie/vetements-homme","","Caleçons","1 000CFA","https://images.coinafrique.com/thumb_5366447_uploaded_image1_1749473882.jpg","Dakar, Sénégal"
"1751301389-6","https://sn.coinafrique.com/categorie/vetements-homme","","Chemise pour homme","12 500CFA","https://images.coinafrique.com/thumb_5389835_uploaded_image1_1750768990.jpg","Fass, Dakar, Sénégal"
"1751301389-7","https://sn.coinafrique.com/categorie/vetements-homme","","Ensemble lacoste+ kaki","14 000CFA","https://images.coinafrique.com/thumb_5379656_uploaded_image1_1750203540.jpg","Dakar, Sénégal"
"1751301389-8","https://sn.coinafrique.com/categorie/vetements-homme","","Pantalon kaki","8 000CFA","https://images.coinafrique.com/thumb_5379655_uploaded_image1_1750203441.jpg","Dakar, Sénégal"
"1751301389-9","https://sn.coinafrique.com/categorie/vetements-homme","","Jalaba homme","10 000CFA","https://images.coinafrique.com/thumb_5362186_uploaded_image1_1749145293.jpg","Dakar, Sénégal"
"1751301389-10","https://sn.coinafrique.com/categorie/vetements-homme","","Tshirt coton","8 000CFA","https://images.coinafrique.com/thumb_5374565_uploaded_image1_1749920402.jpg","Colobane, Dakar, Sénégal"
"1751301389-11","https://sn.coinafrique.com/categorie/vetements-homme","","Shorts coton","8 000CFA","https://images.coinafrique.com/thumb_5374534_uploaded_image1_1749919474.jpg","Colobane, Dakar, Sénégal"
"1751301389-12","https://sn.coinafrique.com/categorie/vetements-homme","","Sorts cotton djiene","10 000CFA","https://images.coinafrique.com/thumb_5374538_uploaded_image1_1749919612.jpg","Colobane, Dakar, Sénégal"
"1751301389-13","https://sn.coinafrique.com/categorie/vetements-homme","","Sorts coton djiene","10 000CFA","https://images.coinafrique.com/thumb_5374540_uploaded_image1_1749919718.jpg","Colobane, Dakar, Sénégal"
"1751301389-14","https://sn.coinafrique.com/categorie/vetements-homme","","Pantalon bas large","7 000CFA","https://images.coinafrique.com/thumb_5387381_uploaded_image1_1750640217.jpg","Dakar, Sénégal"
"1751301389-15","https://sn.coinafrique.com/categorie/vetements-homme","","Ensemble short","15 000CFA","https://images.coinafrique.com/thumb_5387379_uploaded_image1_1750639839.jpg","Dakar, Sénégal"
"1751301389-16","https://sn.coinafrique.com/categorie/vetements-homme","","Polo en coton","8 000CFA","https://images.coinafrique.com/thumb_5361125_uploaded_image1_1749079937.jpg","Dakar, Sénégal"
"1751301389-17","https://sn.coinafrique.com/categorie/vetements-homme","","Pantalon homme","7 000CFA","https://images.coinafrique.com/thumb_5364547_uploaded_image1_1749327860.jpg","Dakar, Sénégal"
"1751301389-18","https://sn.coinafrique.com/categorie/vetements-homme","","T-shirts","5 000CFA","https://images.coinafrique.com/thumb_5396595_uploaded_image1_1751139172.jpg","Grand Yoff, Dakar, Sénégal"
"1751301389-19","https://sn.coinafrique.com/categorie/vetements-homme","","Polo","7 000CFA","https://images.coinafrique.com/thumb_5387074_uploaded_image1_1750620178.jpg","Dakar, Sénégal"
"1751301389-20","https://sn.coinafrique.com/categorie/vetements-homme","","Short en jeans","6 000CFA","https://images.coinafrique.com/thumb_5387071_uploaded_image1_1750620076.jpg","Dakar, Sénégal"
"1751301389-21","https://sn.coinafrique.com/categorie/vetements-homme","","T-shirts","6 000CFA","https://images.coinafrique.com/thumb_5360742_uploaded_image1_1749062707.jpg","Dakar, Sénégal"
"1751301389-22","https://sn.coinafrique.com/categorie/vetements-homme","","T-shirts","6 000CFA","https://images.coinafrique.com/thumb_5360732_uploaded_image1_1749062350.jpg","Dakar, Sénégal"
"1751301389-23","https://sn.coinafrique.com/categorie/vetements-homme","","Ensemble short","10 000CFA","https://images.coinafrique.com/thumb_5360719_uploaded_image1_1749061877.jpg","Dakar, Sénégal"
"1751301389-24","https://sn.coinafrique.com/categorie/vetements-homme","","Jeans homme","7 000CFA","https://images.coinafrique.com/thumb_5386899_uploaded_image1_1750612630.jpg","Dakar, Sénégal"
"1751301389-25","https://sn.coinafrique.com/categorie/vetements-homme","","Short","3 500CFA","https://images.coinafrique.com/thumb_5386893_uploaded_image1_1750612508.jpg","Dakar, Sénégal"
"1751301389-26","https://sn.coinafrique.com/categorie/vetements-homme","","Bas Nike Tech","10 000CFA","https://images.coinafrique.com/thumb_5396366_uploaded_image1_1751130805.jpg","Mariste, Dakar, Sénégal"
"1751301389-27","https://sn.coinafrique.com/categorie/vetements-homme","","T-shirt","3 000CFA","https://images.coinafrique.com/thumb_5368256_uploaded_image1_1749572783.jpg","Dakar, Sénégal"
"1751301389-28","https://sn.coinafrique.com/categorie/vetements-homme","","Dialabeh homme","9 000CFA","https://images.coinafrique.com/thumb_5377282_uploaded_image1_1750088802.jpg","Dakar, Sénégal"
"1751301389-29","https://sn.coinafrique.com/categorie/vetements-homme","","Jeans homme","7 000CFA","https://images.coinafrique.com/thumb_5360049_uploaded_image1_1749038004.jpg","Dakar, Sénégal"
"1751301389-30","https://sn.coinafrique.com/categorie/vetements-homme","","Ensemble short","9 000CFA","https://images.coinafrique.com/thumb_5359855_uploaded_image1_1749031695.jpg","Dakar, Sénégal"
"1751301389-31","https://sn.coinafrique.com/categorie/vetements-homme","","T-shirt unique","3 000CFA","https://images.coinafrique.com/thumb_5381842_uploaded_image1_1750327249.jpg","Dakar, Sénégal"
"1751301389-32","https://sn.coinafrique.com/categorie/vetements-homme","","Short","6 000CFA","https://images.coinafrique.com/thumb_5395713_uploaded_image1_1751083803.jpg","Ouest Foire, Dakar, Sénégal"
"1751301389-33","https://sn.coinafrique.com/categorie/vetements-homme","","Short  homme","6 000CFA","https://images.coinafrique.com/thumb_5395712_uploaded_image1_1751083649.jpg","Ouest Foire, Dakar, Sénégal"
"1751301389-34","https://sn.coinafrique.com/categorie/vetements-homme","","T-shirt coton","6 000CFA","https://images.coinafrique.com/thumb_5376211_uploaded_image1_1750033082.jpg","Dakar, Sénégal"
"1751301389-35","https://sn.coinafrique.com/categorie/vetements-homme","","Lacoste homme","6 000CFA","https://images.coinafrique.com/thumb_5376209_uploaded_image1_1750033001.jpg","Dakar, Sénégal"
"1751301389-36","https://sn.coinafrique.com/categorie/vetements-homme","","Bas large","7 000CFA","https://images.coinafrique.com/thumb_5359319_uploaded_image1_1748991293.jpg","Dakar, Sénégal"
"1751301389-37","https://sn.coinafrique.com/categorie/vetements-homme","","Cargo homme","7 000CFA","https://images.coinafrique.com/thumb_5359212_uploaded_image1_1748985772.jpg","Dakar, Sénégal"
"1751301389-38","https://sn.coinafrique.com/categorie/vetements-homme","","Polo","8 000CFA","https://images.coinafrique.com/thumb_5359195_uploaded_image1_1748985264.jpg","Dakar, Sénégal"
"1751301389-39","https://sn.coinafrique.com/categorie/vetements-homme","","Pantalons hommes","7 000CFA","https://images.coinafrique.com/thumb_5359190_uploaded_image1_1748985019.jpg","Dakar, Sénégal"
"1751301389-40","https://sn.coinafrique.com/categorie/vetements-homme","","Pantalon bas large","7 000CFA","https://images.coinafrique.com/thumb_5380940_uploaded_image1_1750267409.jpg","Dakar, Sénégal"
