web-scraper-order,web-scraper-start-url,pagination,type habits,prix,adresse,image url-src
"1751303111-1","https://sn.coinafrique.com/categorie/vetements-enfants","","Djalabé pour enfants","10 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5374426_uploaded_image1_1749913743.jpg"
"1751303111-2","https://sn.coinafrique.com/categorie/vetements-enfants","","Ensemble pour jeune fille","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5365674_uploaded_image1_1749416491.jpg"
"1751303111-3","https://sn.coinafrique.com/categorie/vetements-enfants","","Robe enfant","7 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5364583_uploaded_image1_1749330317.jpg"
"1751303111-4","https://sn.coinafrique.com/categorie/vetements-enfants","","Robe enfant","8 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5364552_uploaded_image1_1749328164.jpg"
"1751303111-5","https://sn.coinafrique.com/categorie/vetements-enfants","","Ensemble short enfant","8 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5364545_uploaded_image1_1749327684.jpg"
"1751303111-6","https://sn.coinafrique.com/categorie/vetements-enfants","","Robe pour enfants","7 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5344465_uploaded_image1_1748167330.jpg"
"1751303111-7","https://sn.coinafrique.com/categorie/vetements-enfants","","Robe","10 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5344473_uploaded_image1_1748167713.jpg"
"1751303111-8","https://sn.coinafrique.com/categorie/vetements-enfants","","Polo Lacoste pour enfants","4 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5344468_uploaded_image1_1748167535.jpg"
"1751303111-9","https://sn.coinafrique.com/categorie/vetements-enfants","","Emsemble pour enfants 3 pièces","8 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5344462_uploaded_image1_1748167236.jpg"
"1751303111-10","https://sn.coinafrique.com/categorie/vetements-enfants","","Ensemble pour enfants de 1ans à 3ans","7 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5342641_uploaded_image1_1748035425.jpg"
"1751303111-11","https://sn.coinafrique.com/categorie/vetements-enfants","","Ensemble pour enfants de 2ans a 6ans coton","7 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5342650_uploaded_image1_1748035854.jpg"
"1751303111-12","https://sn.coinafrique.com/categorie/vetements-enfants","","Ensemble pour enfants de 2ans a 12ans","7 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5342643_uploaded_image1_1748035562.jpg"
"1751303111-13","https://sn.coinafrique.com/categorie/vetements-enfants","","Ensemble pour enfants de 3ans jusqu'à 8ans","7 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5342638_uploaded_image1_1748035029.jpg"
"1751303111-14","https://sn.coinafrique.com/categorie/vetements-enfants","","Ensemble pour enfants 6mois à 4ans","4 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5342633_uploaded_image1_1748034778.jpg"
"1751303111-15","https://sn.coinafrique.com/categorie/vetements-enfants","","Ensemble pour enfants coton","7 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5342628_uploaded_image1_1748034550.jpg"
"1751303111-16","https://sn.coinafrique.com/categorie/vetements-enfants","","Survêtement coton pour enfants","1 500CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5342624_uploaded_image1_1748034284.jpg"
"1751303111-17","https://sn.coinafrique.com/categorie/vetements-enfants","","Ensemble bébé","Prix sur demande","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_5385373_uploaded_image1_1750509886.51.jpeg"
"1751303111-18","https://sn.coinafrique.com/categorie/vetements-enfants","","Ensemble enfant","Prix sur demande","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_5385364_uploaded_image1_1750509649.41.jpeg"
"1751303111-19","https://sn.coinafrique.com/categorie/vetements-enfants","","Ensemble pour bébé","Prix sur demande","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_5385356_uploaded_image1_1750509151.08.jpeg"
"1751303111-20","https://sn.coinafrique.com/categorie/vetements-enfants","","Habillement enfant","4 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_5385294_uploaded_image1_1750506744.37.jpeg"
"1751303111-21","https://sn.coinafrique.com/categorie/vetements-enfants","","Ensemble pour enfants","8 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5328806_uploaded_image1_1747290315.jpg"
"1751303111-22","https://sn.coinafrique.com/categorie/vetements-enfants","","Robe enfant","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5336896_uploaded_image1_1747744426.jpg"
"1751303111-23","https://sn.coinafrique.com/categorie/vetements-enfants","","Emsemble coton","7 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5290112_uploaded_image1_1745150419.jpg"
"1751303111-24","https://sn.coinafrique.com/categorie/vetements-enfants","","Emsemble  Coton","6 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5289213_uploaded_image1_1745070585.jpg"
"1751303111-25","https://sn.coinafrique.com/categorie/vetements-enfants","","Vetements et accéssoires pour bébé","Prix sur demande","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5281282_uploaded_image1_1744639610.jpg"
"1751303111-26","https://sn.coinafrique.com/categorie/vetements-enfants","","Gamme et vetement pour bébé","Prix sur demande","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5281278_uploaded_image1_1744639447.jpg"
"1751303111-27","https://sn.coinafrique.com/categorie/vetements-enfants","","Brassière kids","3 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5321500_uploaded_image1_1746889004.jpg"
"1751303111-28","https://sn.coinafrique.com/categorie/vetements-enfants","","Vetement enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5312820_uploaded_image1_1746452801.jpg"
"1751303111-29","https://sn.coinafrique.com/categorie/vetements-enfants","","Vêtements enfants","Prix sur demande","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_5310010_uploaded_image1_1746279800.jpg"
"1751303111-30","https://sn.coinafrique.com/categorie/vetements-enfants","","Ensemble pour enfants","6 000CFA","Diamalaye 1, Dakar, Sénégal","https://images.coinafrique.com/thumb_5309005_uploaded_image1_1746217976.jpg"
"1751303111-31","https://sn.coinafrique.com/categorie/vetements-enfants","","Ensemble enfants","6 000CFA","Diamalaye 1, Dakar, Sénégal","https://images.coinafrique.com/thumb_5309001_uploaded_image1_1746217790.jpg"
"1751303111-32","https://sn.coinafrique.com/categorie/vetements-enfants","","Ensemble pour enfants","6 000CFA","Diamalaye 1, Dakar, Sénégal","https://images.coinafrique.com/thumb_5308995_uploaded_image1_1746217632.jpg"
"1751303111-33","https://sn.coinafrique.com/categorie/vetements-enfants","","Chemise enfants","15 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5263591_uploaded_image1_1743688903.jpg"
"1751303111-34","https://sn.coinafrique.com/categorie/vetements-enfants","","Abaya pour Anfna","10 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5263587_uploaded_image1_1743688774.jpg"
"1751303111-35","https://sn.coinafrique.com/categorie/vetements-enfants","","Djalaba","7 500CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5257015_uploaded_image1_1743325512.jpg"
"1751303111-36","https://sn.coinafrique.com/categorie/vetements-enfants","","Sous vetement enfant","1 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg"
"1751303111-37","https://sn.coinafrique.com/categorie/vetements-enfants","","Robe Afne","15 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5243665_uploaded_image1_1742560242.jpg"
"1751303111-38","https://sn.coinafrique.com/categorie/vetements-enfants","","Robes enfant","Prix sur demande","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5283049_uploaded_image1_1744729140.jpg"
"1751303111-39","https://sn.coinafrique.com/categorie/vetements-enfants","","Robes enfant","Prix sur demande","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5283005_uploaded_image1_1744727750.jpg"
"1751303111-40","https://sn.coinafrique.com/categorie/vetements-enfants","","Dialaba  2 pièces","7 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5233364_uploaded_image1_1742035732.jpg"
"1751303111-41","https://sn.coinafrique.com/categorie/vetements-enfants","","Dialab","15 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5228687_uploaded_image1_1741791237.jpg"
"1751303111-42","https://sn.coinafrique.com/categorie/vetements-enfants","","Dialab 3 pièces  3ans jusqua 16ans","12 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5228280_uploaded_image1_1741779191.jpg"
"1751303111-43","https://sn.coinafrique.com/categorie/vetements-enfants","","Dialab pour enfant de 1ans jusqua 16ans","10 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5227274_uploaded_image1_1741722024.jpg"
