web-scraper-order,web-scraper-start-url,pagination,title,nbrOfBedroom,surface,adress,price,img_url-src
"1751279238-1","https://www.expat-dakar.com/appartements-meubles","","Chambres meublées à Keur Massar","9 chambre","200 m²","Keur Massar,
                                                                                Dakar","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/73770d5bbfa444b85299726ce1d136dc/-/horizon-files-prod/ed/picture/qngxev8r/babb4105e832bed338dde542048206cc59d85666.jpg"
"1751279238-2","https://www.expat-dakar.com/appartements-meubles","","Très grand bel appartement meublé avec piscine à louer","2 chambre","300 m²","Ngor,
                                                                                Dakar","150 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/eb70285ddcf8d7d010cd39c0b1eb17a8/-/horizon-files-prod/ed/picture/qrzrq5zn/5200febd782a8d43b318b60737a871aa83278366.jpg"
"1751279238-3","https://www.expat-dakar.com/appartements-meubles","","","","","","",""
"1751279238-4","https://www.expat-dakar.com/appartements-meubles","","Chambre meublée à Ouest foire","1 chambre","25 m²","Ouest foire,
                                                                                Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/874de9fe3e522cf5cc5ec99bfc0f6f77/-/horizon-files-prod/ed/picture/qk9mx6v/05b0fc6e1b8ba63bcb57c36fbf9307f8075119b2.jpg"
"1751279238-5","https://www.expat-dakar.com/appartements-meubles","","studio meublé à louer sur fann hock dakar","1 chambre","70 m²","Fann Hock,
                                                                                Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/bad53517e062867d1c00a83547135aab/-/horizon-files-prod/ed/picture/q4454n95/3e99b92eb8db83a8fc2ad91160e7a151990de100.jpg"
"1751279238-6","https://www.expat-dakar.com/appartements-meubles","","Location studio meublé au point e","1 chambre","","Ouakam,
                                                                                Dakar","450 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/8df75c62cf0ff76c3a3dbba86e097b8d/-/horizon-files-prod/ed/picture/qng90qwx/c0a8796d84d3ce0ad058a3a9a971fff2760a539b.png"
"1751279238-7","https://www.expat-dakar.com/appartements-meubles","","APPT MEUBLE A LIBERTE 6 EXTENSION","1 chambre","120 m²","Liberte 6 extension,
                                                                                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/c5358d98bdce346bd7c0eebd9494a3d6/-/horizon-files-prod/ed/picture/q78w25mg/9f70d790e49afdd9a74906aacfabfbcb8491107e.jpg"
"1751279238-8","https://www.expat-dakar.com/appartements-meubles","","CHAMBRE MEUBLEE A LOUER A RICHARD TOLL","7 chambre","","Richard Toll,
                                                                                Saint-Louis","1 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/3bcdb3c9ac2c7a13af9bcf6802ad0bb8/-/horizon-files-prod/ed/picture/q0g7j4gd/2ecaea188791a7517cc56d75b3c762c01cbec1d3.jpg"
"1751279238-9","https://www.expat-dakar.com/appartements-meubles","","Bel appartement meublé à louer a Ouest foire","","","Ouest foire,
                                                                                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/c4426a6200ea496447e3ac420833b825/-/horizon-files-prod/ed/picture/qnmdvvr/c1d52f7def25766785983cddd7b30913fc02dcea.jpg"
"1751279238-10","https://www.expat-dakar.com/appartements-meubles","","Chambre meublée au point E","1 chambre","15 m²","Point-e,
                                                                                Dakar","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/3eed350cf649a3c1eadf46245c6d9eb0/-/horizon-files-prod/ed/picture/q8vz4zk7/ec6cf5496fad8d26d1a88ab2e924f3b04de971c0.jpg"
"1751279238-11","https://www.expat-dakar.com/appartements-meubles","","Location de studios à Sud Foire","1 chambre","","Sud foire,
                                                                                Dakar","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/118a8ac3dc371785a190a9c58d822c92/-/horizon-files-prod/ed/picture/migrated/qm047n9/1299ad14635fa336b08f150a682e25cf15bbdfd7.jpg"
"1751279241-12","https://www.expat-dakar.com/appartements-meubles","https://www.expat-dakar.com/appartements-meubles?page=82","Appartement meublé vue sur mer à louer aux Almadies","3 chambre","250 m²","Almadies,
                                                                                Dakar","2 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/77acf59d8f0e5db4493acd55226c76c3/-/horizon-files-prod/ed/picture/qwe2qr7p/12c9476164d7496bf9490b9f876309c97297ef95.jpg"
"1751279241-13","https://www.expat-dakar.com/appartements-meubles","https://www.expat-dakar.com/appartements-meubles?page=82","Appartement Meublé  vue sur mer à Dakar plateau","3 chambre","300 m²","Plateau,
                                                                                Dakar","3 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/97793ccf887116ba4a3eceb04f611fcf/-/horizon-files-prod/ed/picture/qrzqr2w9/4e1931dc3ca9a8df92e17a74b56cd3c4e8fede23.jpg"
"1751279241-14","https://www.expat-dakar.com/appartements-meubles","https://www.expat-dakar.com/appartements-meubles?page=82","","","","","",""
"1751279241-15","https://www.expat-dakar.com/appartements-meubles","https://www.expat-dakar.com/appartements-meubles?page=82","Des appartements meublés à louer au mariste","2 chambre","200 m²","Hann maristes,
                                                                                Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/4449026eedae17f2f56d83df3d8fbe8a/-/horizon-files-prod/ed/picture/qrzvz645/bf038daaa729a698796dc81db5e7a0a2e425573e.jpg"
