web-scraper-order,web-scraper-start-url,surface,adress,price,img_url-src
"1750953833-1","https://www.expat-dakar.com/terrains-a-vendre","150 m²","Tivaouane peulh,
                                                                                Dakar","12 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/3bb9dcd2ce855e92dcfe8a5b6a8e64be/-/horizon-files-prod/ed/picture/q8v48kq4/9f63ef2c7be9f581af341955c217276766269d5f.jpg"
"1750953833-2","https://www.expat-dakar.com/terrains-a-vendre","600 m²","Saly Portudal,
                                                                                Thiès","75 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb4473ef2b807b7abb2574d7480e6dbd/-/horizon-files-prod/ed/picture/qv4d994x/8cee0191ead0a884121805d963cd716ef33b0912.png"
"1750953833-3","https://www.expat-dakar.com/terrains-a-vendre","","","",""
"1750953833-4","https://www.expat-dakar.com/terrains-a-vendre","150 m²","Ndayane,
                                                                                Thiès","5 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/0b9ab8846617953ef1a792aea02c0991/-/horizon-files-prod/ed/picture/qng97eng/50eab9612e3407b6e142c41fc915d4df78962a38.jpg"
"1750953833-5","https://www.expat-dakar.com/terrains-a-vendre","150 m²","Yoff,
                                                                                Dakar","120 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/27f4efa5397c8167e8f1493ddce54f82/-/horizon-files-prod/ed/picture/qwerrgm6/74d5dd1585bf3e3bb8ff44eb447b8060223d41e1.jpg"
"1750953833-6","https://www.expat-dakar.com/terrains-a-vendre","350,000 m²","Bayakh,
                                                                                Dakar","1 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/9ed68d18783ac15264ab2ad037051ff7/-/horizon-files-prod/ed/picture/qgqm4z24/b815b5a016fe1f2aabfdea19a0f2ac0169e80f37.jpg"
"1750953833-7","https://www.expat-dakar.com/terrains-a-vendre","600 m²","Ndayane,
                                                                                Thiès","12 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/d86efe865b11adf5e45c463f7db90559/-/horizon-files-prod/ed/picture/qj4qgeng/e5d9d4e7aff6302e271437d6796489a7d4e4ab35.jpg"
"1750953833-8","https://www.expat-dakar.com/terrains-a-vendre","400 m²","Nguering,
                                                                                Thiès","35 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/79a0d98250ec0c27d56fbc8a9beab874/-/horizon-files-prod/ed/picture/q78jxm7x/8592949f8860b52c45bd9948b9b47db59f707d64.png"
"1750953833-9","https://www.expat-dakar.com/terrains-a-vendre","212 m²","Saint-Louis,
                                                                                Saint-Louis","17 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/bcc30d570057e656da3b7eca4a467eb2/-/horizon-files-prod/ed/picture/q4455e89/17b3385e36dbb8d13622a816d640b4b753a8fea4.jpg"
"1750953833-10","https://www.expat-dakar.com/terrains-a-vendre","275 m²","Keur Massar,
                                                                                Dakar","20 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/fea3b0bf863ccee996e5cb8fbb46c8c0/-/horizon-files-prod/ed/picture/qv4d9xpv/05cb7808f6edb01bf3a193ccadfeb60ca0a78606.jpg"
"1750953833-11","https://www.expat-dakar.com/terrains-a-vendre","167 m²","Yoff,
                                                                                Dakar","80 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/adb28f3eff0110984826953f4b24813d/-/horizon-files-prod/ed/picture/qkr89jxp/fa338c15714583cef347c4abfa2a8a331544e5a0.jpg"
"1750953833-12","https://www.expat-dakar.com/terrains-a-vendre","200 m²","Niague,
                                                                                Dakar","17 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/e096fe12a1241f459f0cb8fe81d00d84/-/horizon-files-prod/ed/picture/q6xqrre4/fb7e9e6167367de051cdf4932003d8c9c99243c2.jpg"
"1750953833-13","https://www.expat-dakar.com/terrains-a-vendre","25,000 m²","Mbour,
                                                                                Thiès","70 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/43bb6b25fea066381c8550e9130bc3f6/-/horizon-files-prod/ed/picture/q785rpjm/937bd9d00fa8afa6a6ae3f8379b5eb5e9a16b9c3.jpg"
"1750953833-14","https://www.expat-dakar.com/terrains-a-vendre","225 m²","Mbour,
                                                                                Thiès","3 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-224w/1956df5003eb80425e20d67a588b0717/-/horizon-files-prod/ed/picture/qm5pdvj9/81d352819722801d8a7d9ed9eb7f8f8f3cf31166.jpg"
